Código;Descrição;Local
FF190619855113GB;FF1906 19X8,5 5X113 ET40 GRAFITE BRILHAN;
FF190619855113INOX;FF1906 19X8,5 5X113 ET40 INOX;C7        
FF190619855113SS;FF1906 19X8,5 5X113 ET40 PRATA;
FUCHS1560F528BD;FUCHS 15X6,0 5X112 ET28 BLACK DIAMOND;C9 E      
FUCHS1560P428BD;FUCHS 15X6,0 4X130 ET28 BLACK DIAMOND;C2        
FUCHS17704130BD;FUCHS 911 17X7 4X130 ET38 PRETO DIAMANTA;
FUCHS17705112BD;FUCHS 911 17X7 5X112 ET38 PRETO DIAMANTA;
G1301770F540BD;G130 17X7,0 5X112 ET40 BLACK DIAMOND;C9 E      
G14017704108B;G140 17X7,0 4X108 ET38 BLACK;C6        
G14017704108SS;G140 17X7,0 4X108 ET38 SILVER STAR;C6        
G1401770499B;G140 17X7,0 4X99 ET38 BLACK;C8 e C7   
G1401770499GB;G140 17X7,0 4X99 ET38 GRAPHITE BRILHANTE;C6        
G1401770499SS;G140 17X7,0 4X99 ET38 SILVER STAR;C6        
G14017705100B;G140 17X7,0 5X100 ET38 BLACK;C6        
G14017705100GB;G140 17X7,0 5X100 ET38 GRAFITE BRILHANTE;C8 E      
G14017705100SS;G140 17X7,0 5X100 ET38 SILVER STAR;C6        
G14017705105B;G140 17X7,0 5X105 ET38 BLACK;C9E       
G14017705105GB;G140 17X7,0 5X105 ET38 GRAPHITE BRILHANT;C8 D      
G14017705105SS;G140 17X7,0 5X105 ET38 SILVER STAR;C6        
G14017705108B;G140 17X7,0 5X108 ET38 BLACK;C9 E      
G14017705108GB;G140 17X7,0 5X108 ET38 GRAFITE BRILHANTE;C9E       
G14017705108SS;G140 17X7,0 5X108 ET38 SILVER STAR;C9 D      
G14017705113B;G140 17X7,0 5X113 ET38 BLACK;C6        
G14017705113GB;G140 17X7,0 5X113 ET38 GRAFITE BRILHANTE;C6        
G14017705113SS;G140 17X7,0 5X113 ET38 SILVER STAR;C6        
G1401770A99OV;G140 17X7,0 4X99 ET38 OURO VELHO;
G1515555205BD;G15 15X5,5 5X205 ET5 BLACK DIAMOND;C7D       
G151555F55BD;G15 15X5,5 5X112 ET5 BLACK DIAMOND;C6        
G1515805205BD;G15 15X8,0 5X205 ET-7 BLACK DIAMOND;C9 E      
G161670R635BD;G16 16X7,0 6X139 ET35 BLACK DIAMOND;C6 C7     
G17391770R635BD;G1739 17X7,0 6X139 ET35 BLACK DIAMOND;C7        
G17411760B432GF;G1741 17X6,0 4X100 ET32 GRAFITE FOSCO;
G17411760B432SS;G1741 17X6,0 4X100 ET32 SILVER STAR;C7        
G18101760499HD;G1810 17X6,0 4X99 ET38 HYPER DIAMOND;C6        
G18101760499OURO;G1810 17X6,0 4X99 ET38 OURO BORDA DIAM.;C6        
G18101860B432HD;G1810 18X6,0 4X100 ET32 HYPER DIAMOND;C7        
G181880R620SS;G18 18X8,0 6X139,7 ET20 SILVER STAR;C9E       
G201020805100BD;G2010 20X8,0 5X100 ET50 BLACK DIAMOND;C7        
G201020805100BDS;G2010 20X8,0 5X100 ET50 BLACK DIAM SMOKE;C6        
G201020805112BD;G2010 20X8,0 5X112 ET50 BLACK DIAMOND;C7        
G201020805112BDS;G2010 20X8,0 5X112 ET50 BLACK DIAM SMOKE;
G31460B4D38SD;G03 14X6,0 4X100 ET38 D SILVER DIAMOND;12E       
G3717704108BF;G37 17X7,0 4X108 ET35 BLACK FOSCO;C6        
G3717704108OURO;G37 17X7,0 4X108 ET35 OURO VELHO;
G371770499BF;G37 17X7,0 4X99 ET35 BLACK FOSCO;C7        
G371770499GB;G37 17X7,0 4X99 ET35 GRAPHITE BRILHANTE;C7        
G371770499OURO;G37 17X7,0 4X99 ET35 OURO VELHO;C6        
G371770499SS;G37 17X7,0 4X99 ET35 SILVER STAR;C6        
G3717705100BF;G37 17X7,0 5X100 ET35 BLACK FOSCO;C6D       
G3717705100GB;G37 17X7,0 5X100 ET35 GRAPHITE BRILHANTE;C1        
G3717705100OURO;G37 17X7,0 5X100 ET35 OURO VELHO;C7        
G3717705100SS;G37 17X7,0 5X100 ET35 SILVER STAR;C6        
G3717705105GB;G37 17X7,0 5X105 ET35 GRAPHITE BRILHANTE;C6 FINAL  
G3717705108GB;G37 17X7,0 5X108 ET35 GRAPHITE BRILHANTE;C6        
G3717705113BF;G37 17X7,0 5X113 ET35 BLACK FOSCO;C6        
G3717705113GB;G37 17X7,0 5X113 ET35 GRAPHITE BRILHANTE;C6 e C7   
G3717705113OURO;G37 17X7,0 5X113 ET35 OURO VELHO;C1        
G3717705113SS;G37 17X7,0 5X113 ET35 SILVER STAR;C6        
G661560T536BD;G66 15X6,0 5X205 ET36 BLACK DIAMOND;C9E       
G71760B435SS;G07 17X6,0 4X100 ET35 SILVER STAR;C6 / MK7  
G871570G525;G87 15X7,0 5X114 ET25 BRUTA;C1        
G871570G525P;G87 15X7,0 5X114 ET25 POLIDA;C1        
G871570G525SD;G87 15X7,0 5X114 ET25 SILVER DIAMOND;C1D       
GAUCHA14604130SD;GAUCHA 14X6,0 4X130 ET20 HYPER DIAMOND;11E       
GAUCHA1510G5A25HD;GAUCHA 15X10,0 5X114 A ET-25 HYPER DIAM;C4        
GAUCHA1510P4P25HD;GAUCHA 15X10,0 4X130 ET-25 HYPER DIAMOND;23D       
GAUCHA15804130HD;GAUCHA 15X8,0 4X130 ET0 HYPER DIAMOND;C4        
GAUCHA15805114HD;GAUCHA 15X8,0 5X114 A ET0 HYPER DIAMOND;C4        
GTS18805100BF;GTS 18X8 5X100 ET42 PRETO FOSCO;C9        
GTS18805100SS;GTS 18X8 5X100 ET42 PRATA;
GTS18805105BF;GTS 18X8 5X105 ET42 PRETO FOSCO;C6        
GTS18805108BF;GTS 18X8 5X108 ET42 PRETO FOSCO;C6        
GTS18805108SS;GTS 18X8 5X108 ET42 PRATA;
GTS18805113B;GTS 18X8 5X113 ET42 PRETO;
GTS18805113BF;GTS 18X8,0 5X113 ET42 PRETO FOSCO;C6|C9E    
GTS18805113SS;GTS 18X8 5X113 ET42 PRATA;C9        
GTS20805100BF;GTS 20X8,0 5X100 ET42 PRETO FOSCO;C7        
GTS20805100SS;GTS 20X8,0 5X100 ET42 PRATA;C6        
GTS20805105BF;GTS 20X8,0 5X105 ET42 PRETO FOSCO;C8 E      
GTS20805105SS;GTS 20X8,0 5X105 ET42 PRATA;C9 E      
GTS20805108BF;GTS 20X8,0 5X108 ET42 PRETO FOSCO;C7 C9     
GTS20805108SS;GTS 20X8,0 5X108 ET42 PRATA;
GTS20805113BF;GTS 20X8,0 5X113 ET42 PRETO FOSCO;C7        
GTS20805113SS;GTS 20X8,0 5X113 ET42 PRATA;C6        
K161560O40GL;K16 15X6,0 5X100/108 ET40 GLOSS;RUA 15 E  
K271355A436BD;K27 13X5,5 4X98 ET36 BLACK DIAMOND;12E       
K271355B436BD;K27 13X5,5 4X100 ET36 BLACK DIAMOND;11D/11E   
K271355D436BD;K27 13X5,5 4X108 ET36 BLACK DIAMOND;10E       
K271460B440BD;K27 14X6,0 4X100 ET40 BLACK DIAMOND;13D       
K271460D440BD;K27 14X6,0 4X108 ET40 BLACK DIAMOND;13D       
K271460D440GD;K27 14X6,0 4X108 ET40 GRAPHITE DIAMOND;12D       
K271560B440BD;K27 15X6,0 4X100 ET40 BLACK DIAMOND;32D       
K271560B440GD;K27 15X6,0 4X100 ET40 GRAPHITE DIAMOND;33D       
K271560D440BD;K27 15X6,0 4X108 ET40 BLACK DIAMOND;32E       
K271560D440GD;K27 15X6,0 4X108 ET40 GRAPHITE DIAMOND;36E       
K341460B440BD;K34 14X6,0 4X100 ET40 BLACK DIAMOND;RUA 11D   
K341460D440BD;K34 14X6,0 4X108 ET40 BLACK DIAMOND;RUA 12D   
K341560B440BD;K34 15X6,0 4X100 ET40 BLACK DIAMOND;28E       
K341560D440BD;K34 15X6,0 4X108 ET40 BLACK DIAMOND;33E       
K541560O436HG;K54 15X6,0 4X100/108 ET36 HYPER GLOSS;RUA 18E   
K541560W536HG;K54 15X6,0 5X100/112 ET36 HYPER GLOSS;33D       
K541870O540HG;K54 18X7,0 5X100/108 ET40 HYPER GLOSS;
K561570O432BG;K56 15X7,0 4X100/108 ET32 BLACK GLOSS;
K561570O432HD;K56 15X7,0 4X100/108 ET32 HYPER DIAMOND;25D       
K561770O438HD;K56 17X7,0 4X100/108 ET38 HYPER DIAMOND;48D       
K571575B432B;K57 15X7,5 4X100 ET32 BLACK;24E       
K571575B432GD;K57 15X7,5 4X100 ET32 GRAPHITE DIAMANTAD;25E       
K571575B432HD;K57 15X7,5 4X100 ET32 HYPER DIAMOND;25E       
K581740F55B;K58 17X4,0 5X112 ET5 BLACK;43D       
K581740L55B;K58 17X4,0 5X120 ET5 BLACK;67E       
K601560B436B;K60 15X6,0 4X100 ET36 BLACK F.L;36E       
K601560B436BD;K60 15X6,0 4X100 ET36 BLACK DIAMOND F.L;28D       
K601560D436BD;K60 15X6,0 4X108 ET36 BLACK DIAM F.L;39E       
K611560B436BD;K61 15X6 4X100 ET36 BLACK DIAMOND;
K611560B436BG;K61 15X6 4X100 ET36 BLACK GLOSS;
K621770F540HG;K62 17X7,0 5X112 ET40 HYPER GLOSS;
K631560B432B;K63 15X6,0 4X100 ET32 BLACK;37E       
K631560B432BD;K63 15X6,0 4X100 ET32 BLACK DIAMOND;33D       
K631560B432HG;K63 15X6,0 4X100 ET32 HYPER GLOSS;33D       
K631560D432B;K63 15X6,0 4X108 ET32 BLACK;31D       
K631560D432BD;K63 15X6,0 4X108 ET32 BLACK DIAMOND;36E       
K631560F532BD;K63 15X6,0 5X112 ET32 BLACK DIAMOND;33D       
K631770B432BD;K63 17X7,0 4X100 ET32 BLACK DIAMOND;50E       
K631770B532BD;K63 17X7,0 5X100 ET32 BLACK DIAMOND;6D        
K631770D432BD;K63 17X7,0 4X108 ET32 BLACK DIAMOND;6D        
K631770G532BD;K63 17X7,0 5X114 ET32 BLACK DIAMOND;2D e 3D   
K632080B435GD;K63 20X8 4X100 ET 35 GRAPHITE DIAMOND;
K632080D535BD;K63 20X8,0 5X108 ET 35 BLACK DIAMOND;19E       
K632080G535BD;K63 20X8,0 5X114,3 ET35 BLACK DIAMOND;19E       
K632080G535BG;K63 20X8,0 5X114,3 ET35 BLACK GLOSS;20D       
K63208D435GFD;K63 20X8 4X108 ET35 GRAPHITE FOSCO DIAM;
K641460B430BD;K64 14X6,0 4X100 ET30 BLACK DIAMOND;13D       
K641460D430BD;K64 14X6,0 4X108 ET30 BLACK DIAMOND;RUA 10E   
K641560B436BD;K64 15X6,0 4X100 ET36 BLACK DIAMOND;31D       
K641560D436BD;K64 15X6,0 4X108 ET36 BLACK DIAMOND;36D       
K641560D436BG;K64 15X6,0 4X108 ET36 BLACK GLOSS;CONT      
K651770D432BD;K65 17X7 4X108 ET 32 BLACK DIAMOND;
K651770D432HD;K65 17X7,0 4X108 ET32 HYPER DIAMOND;
K671770B440BD;K67 17X7,0 4X100 ET40 BLACK DIAMOND F.L;43D       
K671770B540BD;K67 17X7,0 5X100 ET40 BLACK DIAM F.L;4D        
K671770D440BD;K67 17X7,0 4X108 ET40 BLACK DIAMOND F.L;4D        
K671770G540BD;K67 17X7,0 5X114 ET40 BLACK DIAMOND F.L;5E        
K671880B540BD;K67 18X8,0 5X100 ET40 BLACK DIAMOND;55D       
K671880C540B;K67 18X8,0 5X105 ET40 BLACK;61D       
K671880C540BD;K67 18X8,0 5X105 ET40 BLACK DIAMOND;24E       
K671880D440BD;K67 18X8,0 4X108 ET40 BLACK DIAMOND;
K671880L537BD;K67 18X8,0 5X120 ET37 BLACK DIAMOND;25E       
K672080F540GD;K67 20X8,0 5X112 ET40 GRAPHITE DIAMOND;19E       
K672080G540B;K67 20X8,0 5X114 ET40 BLACK;18E       
K672080L537BD;K67 20X8 5X120 ET37 BLACK DIAMOND;19E       
K672080L537GD;K67 20X8,0 5X120 ET37 GRAPHITE DIAMOND;19D       
K672080L537GFD;K67 20X8 5X120 ET37 GRAPHITE FOS DIAM;
K681870F537GD;K68 18X7 5X112 ET37 GRAPHITE DIAMOND;
K682080L537GD;K68 20X8 5X120 ET37 GRAPHITE DIAMOND;
K692080B440GD;K69 20X8,0 4X100 ET40 GRAPHITE DIAMOND;
K702080F545GD;K67 20X8  5X112 ET45 GRAPHITE DIAMOND;
K711355A4A36BD;K71 13X5,5 4x98 A ET36 BLACK DIAMOND;10D       
K711355B4A36BD;K71 13X5,5 4X100 A ET36 BLACK DIAMOND;14D       
K711355D4A36BD;K71 13X5,5 4X108 A ET36 BLACK DIAMOND;C2        
K711460A436BD;K71 14X6,0 4X98 ET36 BLACK DIAMOND;10D,E/12D 
K711460B436BD;K71 14X6,0 4X100 ET36 BLACK DIAMOND;11E       
K711460D436BD;K71 14X6,0 4X108 ET36 BLACK DIAMOND;11D       
K711560B438BD;K71 15X6,0 4X100 ET38 BLACK DIAMOND;37D 40/41 
K711560B538BD;K71 15X6,0 5X100 ET38 BLACK DIAMOND;27D       
K711560D438BD;K71 15X6,0 4X108 ET38 BLACK DIAMOND;29E       
K711760B442BD;K71 17X6,0 4X100 ET42 BLACK DIAMOND;43D       
K711760B542BD;K71 17X6,0 5X100 ET42 BLACK DIAMOND;1D        
K711770B540BD;K71 17X7,0 5X100 ET40 BLACK DIAMOND F.L;1D e 1E   
K711770F540BD;K71 17X7,0 5X112 ET40 BLACK DIAMOND F.L;2E        
K711860B442BFD;K71 18X6 4X100 ET42 BLACK FOSCO DIAMOND;
K711860B542BD;K71 18X6 5X100 ET42 BLACK DIAMOND;27D       
K711870B440BD;K71 18X7,0 4X100 ET40 BLACK DIAMOND;64E       
K711870B540BD;K71 18X7,0 5X100 ET40 BLACK DIAMOND;62D       
K711870C540BD;K71 18X7,0 5X105 ET40 BLACK DIAMOND;18D       
K711870F540BD;K71 18X7,0 5X112 ET 40 BLACK DIAMOND;58D       
K721560B438BD;K72 15X6,0 4X100 ET38 BLACK DIAMOND;36D e 38E 
K721560B538BD;K72 15X6,0 5X100 ET38 BLACK DIAMOND;29D,E     
K721770B440BD;K72 17X7,0 4X100 ET40 BLACK DIAMOND;50E       
K721770B540BD;K72 17X7,0 5X100 ET40 BLACK DIAMOND;51D,E     
K721770F545BD;K72 17X7,0 5X112 ET45 BLACK DIAMOND;51D,E     
K731760B4A42BD;K73 17X6,0 4X100 ET42 A BLACK DIAMOND;66D       
K731760B5A42B;K73 17X6,0 5X100 ET42 A  BLACK;2D        
K731760B5A42BD;K73 17X6,0 5X100 ET42 A BLACK DIAMOND;6E/45D    
K731770B4A40BD;K73 17X7,0 4X100 ET40 A BLACK DIAMOND;53E       
K731770B5A40B;K73 17X7,0 5X100 ET40 BLACK;66D       
K731770B5A40BD;K73 17X7,0 5X100 ET40 BLACK DIAMOND;48E       
K731770C5A40BD;K73 17X7,0 5X105 ET40 BLACK DIAMOND;43E       
K731770D5A40BD;K73 17X7,0 5X108 ET40 BLACK DIAMOND;50E       
K731770F5A45B;K73 17X7,0 5X112 ET45 BLACK;43E       
K731770F5A45BD;K73 17X7,0 5X112 ET45 BLACK DIAMOND;45E       
K731770G5A40BD;K73 17X7,0 5X114 ET40 BLACK DIAMOND;43E       
K731860B442B;K73 18X6,0 4X100 ET42 A BLACK;58D       
K731860B442BD;K73 18X6,0 4X100 ET42 A BLACK DIAMOND;54D       
K731860D442BD;K73 18X6,0 4X108 ET42 A BLACK DIAMOND;26E       
K731870B540B;K73 18X7,0 5X100 ET40 A BLACK;54D       
K731870B540BD;K73 18X7,0 5X100 ET40 A BLACK DIAMOND;55E       
K731870C540B;K73 18X7,0 5X105 ET40 A BLACK;56D       
K731870C5A40BD;K73 18X7,0 5X105 ET40 BLACK DIAMOND;18E       
K731870D540B;K73 18X7,0 5X108 A ET40 A BLACK;26D       
K731870D5A40BD;K73 18X7,0 5X108 ET40 BLACK DIAMOND;57E       
K731870E5A40BD;K73 18X7,0 5X110 ET40 BLACK DIAMOND;57D       
K731870F545B;K73 18X7,0 5X112 ET45 BLACK;25E       
K731870F5A45BD;K73 18X7,0 5X112 A ET45 BLACK DIAMOND;64E       
K731870G540B;K73 18X7,0 5X114,3 ET40 BLACK;18D       
K732080B540BD;K73 20X8,0 5X100 ET40 BLACK DIAMOND;19D,E/20D 
K732080C540BD;K73 20X8,0 5X105 ET40 BLACK DIAMOND;20E       
K732080D540BD;K73 20X8,0 5X108 ET40 BLACK DIAMOND;19E       
K732080E540B;K73 20X8,0 5X110 ET40 BLACK;C9 D      
K732080F545B;K73 20X8,0 5X112 ET45 BLACK;19E       
K732080F545BD;K73 20X8,0 5X112 ET45 A BLACK DIAMOND;15E       
K732080G540B;K73 20X8,0 5X114 ET40 A BLACK;20D       
K741770B5A35BD;K74 17X7,0 5X100 ET35 BLACK DIAMOND;2D        
K741770F5A35GD;K74 17X7,0 5X112 ET35 GRAPHITE DIAMOND;2D e ESC  
K751870B5A40BD;K75 18X7,0 5X100 ET40 BLACK DIAMOND;60E       
K751870C5A40BD;K75 18X7,0 5X105 ET40 BLACK DIAMOND;62D       
K751870C5A40GD;K75 18X7,0 5X105 ET40 GRAPHITE DIAMOND;54D       
K751870C5A40HD;K75 18X7,0 5X105 ET40 HYPER DIAMOND;57E       
K751870D5A40BD;K75 18X7,0 5X108 ET40 BLACK DIAMOND;58D       
K751870D5A40GD;K75 18X7,0 5X108 ET40 GRAPHITE DIAMOND;60D       
K751870D5A40HD;K75 18X7,0 5X108 ET40 HYPER DIAMOND;57D       
K751870E5A40BD;K75 18X7,0 5X110 ET40 BLACK DIAMOND;59E       
K751870E5A40HD;K75 18X7,0 5X110 ET40 HYPER DIAMOND;62D       
K751870F5A45GD;K75 18X7,0 5X112 ET45 GRAPHITE DIAMOND;64D       
K761460A4A36B;K76 14X6,0 4X98 ET36 BLACK;12D       
K761460A4A36HG;K76 14X6,0 4X98 ET36 HYPER GLOSS;12E       
K761460B4A36B;K76 14X6,0 4X100 A ET36 BLACK;12E       
K761460B4A36HG;K76 14X6,0 4X100 ET36 HYPER GLOSS;12E       
K761460D4A36B;K76 14X6,0 4X108 ET36 BLACK;12D       
K761460D4A36HG;K76 14X6,0 4X108 ET36 HYPER GLOSS;12E       
L11460F527BD;L1 14X6 5X112 ET27 BLACK DIAMOND;14E       
L11460F527GD;L1 14X6,0 5X112 ET27 GRAPHITE DIAMOND;10D       
L42290D545BD;L4 22X9,0 5X108 ET45 BLACK DIAMOND;35D       
L42290L545BD;L4 22X9,0 5X120 ET45 BLACK DIAMOND;35E       
LTS1870499SS;LTS 18X7,0 4X99 PRATA;C7        
LTS18705105OURO;LTS 18X7,0 5X105 OURO VELHO;C7        
LTS18705105SS;LTS 18X7,0 5X105 PRATA;C7        
LTS18705113B;LTS 18X7,0 5X113 PRETA (BLACK);C7        
M101460D520BD;M10 14X6,0 5X108 ET20 BLACK DIAMOND;12D       
M101460F520BD;M10 14X6,0 5X112 ET20 BLACK DIAMOND;10E       
M101460F520FBD;M10 14X6,0 5X112 ET20 FACE BLACK DIAMOND;10E       
M101460G520BD;M10 14X6,0 5X114,3 ET20 BLACK DIAMOND;12E       
M101460G520FBD;M10 14X6,0 5X114,3 ET20 FACE BLACK DIAM;13E       
M101570D50BD;M10 15X7,0 5X108 ET0 BLACK DIAMOND;25D       
M101570D50FBD;M10 15X7,0 5X108 ET0 FACE BLACK DIAMOND;25E       
M101570G50BD;M10 15X7,0 5X114 ET0 BLACK DIAMOND;24D       
M101570G50FBD;M10 15X7,0 5X114 ET0 FACE BLACK DIAMOND;24E       
M101570G520BD;M10 15X7,0 5X114,3 ET20 BLACK DIAMOND;23D       
M101570G520FBD;M10 15X7,0 5X114 ET20 FACE BLACK DIAMOND;23D       
M101580D50BD;M10 15X8,0 5X108 ET0 BLACK DIAMOND;25D       
M101580D50FBD;M10 15X8,0 5X108 ET0 FACE BLACK DIAMOND;24E       
M101580G50BD;M10 15X8,0 5X114 ET0 BLACK DIAMOND;25D       
M101580G50FBD;M10 15X8,0 5X114 ET0 FACE BLACK DIAMOND;25D       
M101770G525BD;M10 17X7,0 5X114 ET25 BLACK DIAMOND;44E       
M111560B435BD;M11 15X6,0 4X100 ET35 BLACK DIAMOND;36D       
M111560B435HG;M11 15X6,0 4X100 ET35 HYPER GLOSS;32D       
M111560F5H27BD;M11 15X6,0 5X112 H ET27 BLACK DIAMOND;27D e 41D 
M111560P435BD;M11 15X6,0 4X130 ET35 BLACK DIAMOND;27 28 41D 
M111560P435HG;M11 15X6,0 4X130 ET35 HYPER GLOSS;38E       
M111570G530SS;M11 15X7,0 5X114 ET30 SILVER STAR;25E       
M121780G520BFD;M12 17X8,0 5X114 ET+20 PRETO FOSCO DIAM;1E e 52E  
M121780G620BFD;M12 17X8,0 6X114 ET+20 PRETA FOSCO DIAM;49E       
M121780L520BFD;M12 17X8,0 5X120 ET+20 PRETA FOSCO DIAM;50D       
M121780R620B;M12 17X8,0 6X139 ET20 BLACK;3D e 44E  
M121780R620BFD;M12 17X8,0 6X139,7 ET20 U BLACK FOSCO D;49E/52E,D 
M151670G510BD;M15 16X7,0 5X114 K ET10 BLACK DIAMOND;7D SALINHA
M151670G5K10GBL;M15 16X7,0 5X114,3 K ET10 GOLD BLACK LIP;2D        
M151670G610GFD;M15 16X7,0 6X114 ET10 GRAFITE FOSCO DIAM;
M151670G6H10BD;M15 16X7,0 6X114 ET10 BLACK DIAMOND;4D        
M151670R510BD;M15 16X7,0 5X139 ET10 U BLACK DIAMOND;C1 C6 1D  
M151670R610BD;M15 16X7,0 6X139,7 ET10 U BLACK DIAMOND;2E        
M151670R6U10GBL;M15 16X7,0 6X139,7 U ET10 GOLD BLACK LIP;6D        
M161355A4A36B;M16 13X5,5 4x98 A ET36 BLACK;12E e 14E 
M161355A4A36BD;M16 13X5,5 4X98 A ET36 BLACK DIAMOND;8E        
M161355B4A36B;M16 13X5,5 4X100 A ET36 BLACK;12E       
M161355B4A36BD;M16 13X5,5 4X100 A ET36 BLACK DIAMOND;8E/C2     
M161355D4A36B;M16 13X5,5 4X108 A ET36 BLACK;11D       
M161355D4A36BD;M16 13X5,5 4X108 A ET36 BLACK DIAMOND;12D       
M161460A436B;M16 14X6,0 4X98 ET36 BLACK;10E       
M161460A436BD;M16 14X6,0 4X98 ET36 BLACK DIAMOND;14D       
M161460B436B;M16 14X6,0 4X100 ET36 BLACK;10D       
M161460B436BD;M16 14X6,0 4X100 ET36 BLACK DIAMOND;14 / C2   
M161460D436B;M16 14X6,0 4X108 ET36 BLACK;10E       
M161460D436BD;M16 14X6,0 4X108 ET36 BLACK DIAMOND;10D       
M161460G436BD;M16 14X6,0 4X114 ET36 BLACK DIAMOND;11E       
M161560A440B;M16 15X6,0 4X98 ET40 BLACK;32D       
M161560A440BD;M16 15X6,0 4X98 ET40 BLACK DIAMOND;31D       
M161560B440B;M16 15X6,0 4X100 ET40 BLACK;31 / 32E  
M161560B440BD;M16 15X6,0 4X100 ET40 BLACK DIAMOND;36E / 40D 
M161560D440B;M16 15X6,0 4X108 ET40 BLACK;40D / 40E 
M161560D440BD;M16 15X6,0 4X108 ET40 BLACK DIAMOND;29 /37/40 
M161560G440BD;M16 15X6,0 4X114 ET40 BLACK DIAMOND;33D,E     
M161660B442B;M16 16X6,0 4X100 ET42 BLACK;5E        
M161660B442BD;M16 16X6,0 4X100 ET42 BLACK DIAMOND;4E 5D 8E  
M161660B542B;M16 16X6,0 5X100 ET42 BLACK;5E        
M161660B542BD;M16 16X6,0 5X100 ET42 BLACK DIAMOND;7D        
M161660D442B;M16 16X6,0 4X108 ET42 BLACK;3E        
M161660D442BD;M16 16X6,0 4X108 ET42 BLACK DIAMOND;1E        
M161660G442BD;M16 16X6,0 4X114 ET42 BLACK DIAMOND;1D e 1E   
M161660G542B;M16 16X6,0 5X114 ET42 BLACK;2E        
M161660G542BD;M16 16X6,0 5X114 ET42 BLACK DIAMOND;4D E 8D   
M161770B442B;M16 17X7,0 4X100 ET42 BLACK;51E / 65D 
M161770B442BD;M16 17X7,0 4X100 ET42 BLACK DIAMOND;65D       
M161770B542BD;M16 17X7,0 5X100 ET42 BLACK DIAMOND;2D        
M161770D442B;M16 17X7,0 4X108 ET42 BLACK;49D       
M161770D442BD;M16 17X7,0 4X108 ET42 BLACK DIAMOND;49D,E     
M161770D542BD;M16 17X7,0 5X108 ET42 BLACK DIAMOND;3E        
M161770G442BD;M16 17X7,0 4X114 ET42 BLACK DIAMOND;50E       
M161770G542B;M16 17X7,0 5X114 ET42 BLACK;52E       
M161770G542BD;M16 17X7,0 5X114 ET42 BLACK DIAMOND;52D       
M171570O430BD*;M17 15X7,0 4X100/108 ET30 BLACK DIA.*R.C;SALA 2 e 3
M171570O430HD*;M17 15X7,0 4X100/108 ET30 HYPER DIA.*R.C;23D e 24E 
M171770O432HD;M17 17X7,0 4X100/108 ET32 HYPER DIAM R.C;51E       
M181560B4A36HG;M18 15X6,0 4X100 ET36 HYPER GLOSS;31E e 32D 
M181560D436HG;M18 15X6,0 4X108 ET36 HYPER GLOSS;28D       
M191570B5A30HD;M19 15X7,0 5X100 ET30 HYPER DIAMOND;25E       
M191570O4A30HD;M19 15X7,0 4X100/108 A ET30 HYPER DIAM;23D       
M201570B435HD;M20 15X7,0 4X100 ET35 HYPER DIAMOND;23D e 25E 
M201570B535HD;M20 15X7,0 5X100 ET35 HYPER DIAMOND;25E       
M201570F535HD;M20 15X7,0 5X112 ET35 HYPER DIAMOND;34E       
M201760B442HD;M20 17X6,0 4X100 ET42 HYPER DIAMOND;50E       
M201760B542HD;M20 17X6 5X100 ET42 HYPER DIAMOND;3D        
M201760F542HD;M20 17X6,0 5X112 ET42 HYPER DIAMOND;2E        
M211660B442GF;M21 16X6,0 4X100 ET42 GRAPHITE FOSCO;2D        
M211660B442SS;M21 16X6,0 4X100 ET42 SILVER STAR;4D        
M21560A442SS;M2 15X6,0 4X98 ET42 SILVER STAR;30D/31E   
M221690G520BD;M22 16X9,0 5X114 ET-20 BLACK DIAMOND;6E        
M221690G620BD;M22 16X9,0 6X114 ET-20 BLACK DIAMOND;6D        
M221690R620BD;M22 16X9,0 6X139 ET-20 BLACK DIAMOND;1E e 2E   
M221885G515BD;M22 18X8,5 5X114 ET15 BLACK DIAMOND;58D       
M221885G615BD;M22 18X8,5 6X114 ET15 BLACK DIAMOND;18D e 64E 
M221885L515BD;M22 18X8,5 5X120 ET15 BLACK DIAMOND;62E       
M221885L515BFD;M22 18X8,5 5X120 ET15 BLACK FOSCO DIAMON;60E       
M221885N515BD;M22 18X8,5 5X127 ET15 BLACK DIAMOND;18E       
M221885R6U15BD;M22 18X8,5 6X139 U(HILUX) ET15 BLACK DIA;64D / 64E 
M231880D5F20BF;M23 18X8,0 5X108  ET20 BLACK FOSCO;57E       
M231880G5K20BF;M23 18X8,0 5X114 ET20 BLACK FOSCO;57E       
M231880G6H20BF;M23 18X8,0 6X114 ET20 BLACK FOSCO;C7        
M231880R6U20BD;M23 18X8,0 6X139 ET20 BLACK DIAMOND;18E       
M231880R6U20BF;M23 18X8,0 6X139 ET20 BLACK FOSCO;63E       
M232085D5F20BF;M23 20X8,5 5X108 F ET20 BLACK FOSCO;20E       
M232085G6H20BF;M23 20X8,5 6X114,3 ET20 BLACK FOSCO;20D       
M232085R6U20B;M23 20X8,5 6X139,7 ET20 BLACK;19D/19E   
M232085R6U20BD;M23 20X8,5 6X139,7 U ET20 BLACK DIAMOND;18E       
M232085R6U20BF;M23 20X8,5 6X139,7 ET20 BLACK FOSCO;16E       
M251560B4A38BD;M25 15X6,0 4X100 A ET38 BLACK DIAMOND;40D       
M251560B4A38HG;M25 15X6,0 4X100 A ET38 HYPER GLOSS;29 / 37E  
